,borough,neighbourhood,superhost
636,Manhattan,Midtown,False
637,Manhattan,Midtown,False
638,Manhattan,Midtown,False
639,Manhattan,Midtown,False
640,Manhattan,Midtown,False
641,Manhattan,Midtown,True
642,Manhattan,Midtown,True
643,Manhattan,Midtown,False
644,Manhattan,Midtown,False
645,Manhattan,Midtown,True
646,Manhattan,Midtown,False
647,Manhattan,Midtown,False
648,Manhattan,Midtown,False
649,Manhattan,Midtown,True
650,Manhattan,Midtown,True
651,Manhattan,Midtown,True
652,Manhattan,Midtown,True
653,Manhattan,Midtown,True
654,Manhattan,Midtown,True
655,Manhattan,Midtown,True
656,Manhattan,Midtown,True
657,Manhattan,Midtown,True
658,Manhattan,Midtown,True
659,Manhattan,Midtown,False
660,Manhattan,Midtown,False
661,Manhattan,Midtown,False
662,Manhattan,Midtown,False
663,Manhattan,Midtown,False
664,Manhattan,Midtown,False
665,Manhattan,Midtown,False
666,Manhattan,Midtown,False
667,Manhattan,Midtown,False
668,Manhattan,Midtown,False
669,Manhattan,Midtown,False
670,Manhattan,Midtown,True
671,Manhattan,Midtown,False
672,Manhattan,Midtown,True
673,Manhattan,Midtown,True
674,Manhattan,Midtown,False
675,Manhattan,Midtown,False
676,Manhattan,Midtown,False
677,Manhattan,Midtown,False
678,Manhattan,Midtown,False
679,Manhattan,Midtown,False
680,Manhattan,Midtown,True
681,Manhattan,Midtown,False
682,Manhattan,Midtown,False
683,Manhattan,Midtown,False
684,Manhattan,Midtown,True
685,Manhattan,Midtown,True
686,Manhattan,Midtown,True
687,Manhattan,Midtown,False
688,Manhattan,Midtown,False
689,Manhattan,Midtown,False
690,Manhattan,Midtown,False
691,Manhattan,Midtown,False
692,Manhattan,Midtown,False
693,Manhattan,Midtown,True
694,Manhattan,Midtown,True
695,Manhattan,Midtown,True
696,Manhattan,Midtown,True
697,Manhattan,Midtown,False
698,Manhattan,Midtown,False
699,Manhattan,Midtown,True
700,Manhattan,Midtown,False
701,Manhattan,Midtown,False
702,Manhattan,Midtown,False
703,Manhattan,Midtown,True
704,Manhattan,Midtown,False
705,Manhattan,Midtown,False
706,Manhattan,Midtown,False
707,Manhattan,Midtown,False
708,Manhattan,Midtown,False
709,Manhattan,Midtown,False
710,Manhattan,Midtown,False
711,Manhattan,Midtown,False
712,Manhattan,Midtown,False
713,Manhattan,Midtown,False
714,Manhattan,Midtown,False
715,Manhattan,Midtown,True
716,Manhattan,Midtown,False
717,Manhattan,Midtown,False
718,Manhattan,Midtown,False
719,Manhattan,Midtown,False
720,Manhattan,Midtown,False
721,Manhattan,Midtown,False
722,Manhattan,Midtown,False
723,Manhattan,Midtown,False
724,Manhattan,Midtown,False
725,Manhattan,Midtown,True
726,Manhattan,Midtown,False
727,Manhattan,Midtown,False
728,Manhattan,Midtown,False
729,Manhattan,Midtown,False
730,Manhattan,Midtown,False
731,Manhattan,Midtown,False
732,Manhattan,Midtown,False
733,Manhattan,Midtown,False
734,Manhattan,Midtown,False
735,Manhattan,Midtown,True
736,Manhattan,Midtown,False
737,Manhattan,Midtown,False
738,Manhattan,Midtown,False
739,Manhattan,Midtown,False
740,Manhattan,Midtown,False
741,Manhattan,Midtown,False
742,Manhattan,Midtown,False
743,Manhattan,Midtown,False
744,Manhattan,Midtown,False
745,Manhattan,Midtown,False
746,Manhattan,Midtown,False
747,Manhattan,Midtown,False
748,Manhattan,Midtown,False
749,Manhattan,Midtown,False
750,Manhattan,Midtown,False
751,Manhattan,Midtown,False
752,Manhattan,Midtown,False
753,Manhattan,Midtown,False
754,Manhattan,Midtown,False
755,Manhattan,Midtown,False
756,Manhattan,Midtown,False
757,Manhattan,Midtown,True
758,Manhattan,Midtown,True
759,Manhattan,Midtown,False
760,Manhattan,Midtown,False
761,Manhattan,Midtown,True
762,Manhattan,Midtown,False
763,Manhattan,Midtown,False
764,Manhattan,Midtown,True
765,Manhattan,Midtown,True
766,Manhattan,Midtown,True
767,Manhattan,Midtown,False
768,Manhattan,Midtown,True
769,Manhattan,Midtown,False
770,Manhattan,Midtown,False
771,Manhattan,Midtown,True
772,Manhattan,Midtown,False
773,Manhattan,Midtown,False
774,Manhattan,Midtown,False
775,Manhattan,Midtown,False
776,Manhattan,Midtown,False
777,Manhattan,Midtown,True
778,Manhattan,Midtown,False
779,Manhattan,Midtown,False
780,Manhattan,Midtown,False
781,Manhattan,Midtown,False
782,Manhattan,Midtown,False
783,Manhattan,Midtown,False
784,Manhattan,Midtown,False
785,Manhattan,Midtown,False
786,Manhattan,Midtown,False
787,Manhattan,Midtown,False
788,Manhattan,Midtown,True
789,Manhattan,Midtown,False
790,Manhattan,Midtown,False
791,Manhattan,Midtown,False
792,Manhattan,Midtown,False
793,Manhattan,Midtown,False
794,Manhattan,Midtown,False
795,Manhattan,Midtown,False
796,Manhattan,Midtown,False
797,Manhattan,Midtown,False
798,Manhattan,Midtown,False
799,Manhattan,Midtown,True
800,Manhattan,Midtown,False
801,Manhattan,Midtown,False
802,Manhattan,Midtown,False
803,Manhattan,Midtown,False
804,Manhattan,Midtown,False
805,Manhattan,Midtown,False
806,Manhattan,Midtown,False
807,Manhattan,Midtown,False
808,Manhattan,Midtown,False
809,Manhattan,Midtown,False
810,Manhattan,Midtown,False
811,Manhattan,Midtown,False
812,Manhattan,Midtown,False
813,Manhattan,Midtown,False
814,Manhattan,Midtown,False
815,Manhattan,Midtown,True
816,Manhattan,Midtown,False
817,Manhattan,Midtown,False
818,Manhattan,Midtown,False
819,Manhattan,Midtown,False
820,Manhattan,Midtown,False
821,Manhattan,Midtown,True
822,Manhattan,Midtown,False
823,Manhattan,Midtown,False
824,Manhattan,Midtown,False
825,Manhattan,Midtown,False
826,Manhattan,Midtown,False
827,Manhattan,Midtown,False
828,Manhattan,Midtown,False
829,Manhattan,Midtown,False
830,Manhattan,Midtown,False
831,Manhattan,Midtown,True
832,Manhattan,Midtown,False
833,Manhattan,Midtown,True
834,Manhattan,Midtown,False
835,Manhattan,Midtown,False
836,Manhattan,Midtown,False
837,Manhattan,Midtown,False
838,Manhattan,Midtown,False
839,Manhattan,Midtown,False
840,Manhattan,Midtown,False
841,Manhattan,Midtown,False
842,Manhattan,Midtown,False
843,Manhattan,Midtown,False
844,Manhattan,Midtown,False
845,Manhattan,Midtown,False
846,Manhattan,Midtown,False
847,Manhattan,Midtown,False
848,Manhattan,Midtown,True
849,Manhattan,Midtown,False
850,Manhattan,Midtown,False
851,Manhattan,Midtown,False
852,Manhattan,Midtown,False
853,Manhattan,Midtown,False
854,Manhattan,Midtown,False
855,Manhattan,Midtown,False
856,Manhattan,Midtown,False
857,Manhattan,Midtown,False
858,Manhattan,Midtown,False
859,Manhattan,Midtown,False
860,Manhattan,Midtown,True
861,Manhattan,Midtown,False
862,Manhattan,Midtown,True
863,Manhattan,Midtown,False
864,Manhattan,Midtown,False
865,Manhattan,Midtown,False
866,Manhattan,Midtown,False
867,Manhattan,Midtown,False
868,Manhattan,Midtown,False
869,Manhattan,Midtown,False
870,Manhattan,Midtown,False
871,Manhattan,Midtown,False
872,Manhattan,Midtown,False
873,Manhattan,Midtown,False
874,Manhattan,Midtown,False
875,Manhattan,Midtown,True
876,Manhattan,Midtown,True
877,Manhattan,Midtown,True
878,Manhattan,Midtown,False
879,Manhattan,Midtown,False
880,Manhattan,Midtown,False
881,Manhattan,Midtown,False
882,Manhattan,Midtown,True
883,Manhattan,Midtown,False
884,Manhattan,Midtown,False
885,Manhattan,Midtown,False
886,Manhattan,Midtown,False
887,Manhattan,Midtown,True
888,Manhattan,Midtown,False
889,Manhattan,Midtown,False
890,Manhattan,Midtown,False
891,Manhattan,Midtown,False
892,Manhattan,Midtown,True
893,Manhattan,Midtown,False
894,Manhattan,Midtown,False
895,Manhattan,Midtown,False
896,Manhattan,Midtown,False
897,Manhattan,Midtown,False
898,Manhattan,Midtown,False
899,Manhattan,Midtown,False
900,Manhattan,Midtown,False
901,Manhattan,Midtown,False
902,Manhattan,Midtown,False
903,Manhattan,Midtown,True
904,Manhattan,Midtown,False
905,Manhattan,Midtown,False
906,Manhattan,Midtown,False
907,Manhattan,Midtown,False
908,Manhattan,Midtown,True
909,Manhattan,Midtown,False
910,Manhattan,Midtown,False
911,Manhattan,Midtown,False
912,Manhattan,Midtown,False
913,Manhattan,Midtown,False
914,Manhattan,Midtown,False
915,Manhattan,Midtown,False
916,Manhattan,Midtown,False
917,Manhattan,Midtown,False
918,Manhattan,Midtown,False
919,Manhattan,Midtown,False
920,Manhattan,Midtown,False
921,Manhattan,Midtown,True
922,Manhattan,Midtown,False
923,Manhattan,Midtown,False
924,Manhattan,Midtown,False
925,Manhattan,Midtown,False
926,Manhattan,Midtown,False
927,Manhattan,Midtown,False
928,Manhattan,Midtown,False
