,id,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews,superhost,borough,neighbourhood,room_type
963,303462,127,3,40.78012,-73.9844,1,223,14,1,Manhattan,Upper West Side,Entire home/apt
966,450577,127,3,40.77555,-73.9767,1,190,85,1,Manhattan,Upper West Side,Entire home/apt
967,465706,127,3,40.79964,-73.965,1,150,3,1,Manhattan,Upper West Side,Entire home/apt
969,535352,127,3,40.79358,-73.9704,1,111,45,1,Manhattan,Upper West Side,Entire home/apt
981,739239,127,3,40.78674,-73.9724,1,123,6,1,Manhattan,Upper West Side,Entire home/apt
982,739242,127,3,40.78747,-73.9724,1,125,10,1,Manhattan,Upper West Side,Entire home/apt
984,779838,127,3,40.7982,-73.9717,1,217,10,1,Manhattan,Upper West Side,Entire home/apt
990,846854,127,3,40.78689,-73.9731,1,300,93,1,Manhattan,Upper West Side,Entire home/apt
993,971247,127,3,40.79368,-73.9649,1,190,177,1,Manhattan,Upper West Side,Entire home/apt
994,993514,127,3,40.78729,-73.9744,1,130,9,1,Manhattan,Upper West Side,Entire home/apt
995,993575,127,3,40.7852,-73.9746,1,138,16,1,Manhattan,Upper West Side,Entire home/apt
996,993576,127,3,40.78558,-73.9725,1,134,7,1,Manhattan,Upper West Side,Entire home/apt
1001,1183667,127,3,40.77938,-73.9872,1,85,63,1,Manhattan,Upper West Side,Entire home/apt
1010,1731365,127,3,40.79086,-73.9668,1,490,98,1,Manhattan,Upper West Side,Entire home/apt
1011,1776732,127,3,40.78852,-73.9675,1,416,130,1,Manhattan,Upper West Side,Entire home/apt
1012,1793091,127,3,40.77631,-73.9795,1,180,291,1,Manhattan,Upper West Side,Entire home/apt
1044,2314392,127,3,40.7803,-73.9835,1,200,50,1,Manhattan,Upper West Side,Entire home/apt
1066,3686972,127,3,40.77905,-73.9794,1,190,35,1,Manhattan,Upper West Side,Entire home/apt
1072,3838375,127,3,40.79903,-73.9645,1,123,109,1,Manhattan,Upper West Side,Entire home/apt
1073,3851263,127,3,40.79945,-73.9599,1,510,24,1,Manhattan,Upper West Side,Entire home/apt
1090,4492303,127,3,40.78137,-73.9818,1,179,28,1,Manhattan,Upper West Side,Entire home/apt
1097,4621213,127,3,40.78604,-73.9736,1,200,68,1,Manhattan,Upper West Side,Entire home/apt
1103,4815028,127,3,40.80123,-73.9625,1,129,35,1,Manhattan,Upper West Side,Entire home/apt
1108,4905118,127,3,40.78236,-73.9841,1,270,16,1,Manhattan,Upper West Side,Entire home/apt
1109,4905248,127,3,40.78238,-73.9842,1,140,13,1,Manhattan,Upper West Side,Entire home/apt
1112,4921548,127,3,40.7813,-73.9832,1,250,20,1,Manhattan,Upper West Side,Entire home/apt
1114,5028264,127,3,40.7921,-73.9792,1,125,49,1,Manhattan,Upper West Side,Entire home/apt
1115,5033691,127,3,40.78236,-73.9843,1,255,15,1,Manhattan,Upper West Side,Entire home/apt
1116,5034136,127,3,40.78236,-73.9841,1,110,18,1,Manhattan,Upper West Side,Entire home/apt
1117,5065185,127,3,40.79463,-73.9706,1,119,86,1,Manhattan,Upper West Side,Entire home/apt
1118,5081207,127,3,40.78236,-73.9843,1,195,19,1,Manhattan,Upper West Side,Entire home/apt
1120,5541897,127,3,40.78233,-73.9841,1,155,12,1,Manhattan,Upper West Side,Entire home/apt
1129,6056028,127,3,40.78826,-73.9677,1,499,31,1,Manhattan,Upper West Side,Entire home/apt
