listing_id,day of week,price
57468,Wednesday,170.0
57618,Friday,250.0
57618,Monday,250.0
57618,Saturday,250.0
57618,Sunday,250.0
57618,Thursday,250.0
57618,Tuesday,250.0
57618,Wednesday,250.0
57754,Friday,250.5
57754,Monday,250.0
57754,Saturday,250.0
57754,Sunday,250.0
57754,Thursday,250.0
57754,Tuesday,250.0
57754,Wednesday,250.0
57874,Friday,159.84
57874,Monday,159.53061224489795
57874,Saturday,159.53061224489795
57874,Sunday,159.53061224489795
57874,Thursday,159.18367346938774
57874,Tuesday,159.16326530612244
57874,Wednesday,159.18367346938774
58059,Friday,53.42
58059,Monday,53.285714285714285
58059,Saturday,54.857142857142854
58059,Sunday,53.38775510204081
58059,Thursday,54.12244897959184
58059,Tuesday,53.36734693877551
58059,Wednesday,53.775510204081634
58062,Friday,139.0
58062,Monday,139.0
58062,Saturday,139.0
58062,Sunday,139.0
58062,Thursday,139.0
58062,Tuesday,139.0
58062,Wednesday,139.0
58467,Friday,99.0
58467,Monday,99.0
58467,Saturday,99.0
58467,Sunday,99.0
58467,Thursday,99.0
58467,Tuesday,99.0
58467,Wednesday,99.0
59014,Friday,150.6
59014,Monday,150.0
59014,Saturday,150.6122448979592
59014,Sunday,150.6122448979592
59014,Thursday,150.0
59014,Tuesday,150.0
59014,Wednesday,150.0
59121,Friday,162.0
59121,Monday,195.0
59121,Saturday,162.0
59121,Sunday,195.0
59121,Thursday,195.0
59121,Tuesday,195.0
59121,Wednesday,195.0
59709,Friday,157.0
59709,Monday,157.55102040816325
59709,Saturday,156.9387755102041
59709,Sunday,156.9387755102041
59709,Thursday,157.55102040816325
59709,Tuesday,157.55102040816325
59709,Wednesday,157.55102040816325
59855,Friday,250.0
59855,Monday,250.0
59855,Saturday,250.0
59855,Sunday,250.0
59855,Thursday,250.0
59855,Tuesday,250.0
59855,Wednesday,250.0
60164,Friday,584.36
60164,Monday,583.5510204081633
60164,Saturday,583.7142857142857
60164,Sunday,583.3877551020408
60164,Thursday,586.0204081632653
60164,Tuesday,583.5510204081633
60164,Wednesday,583.5510204081633
60457,Friday,250.0
60457,Monday,250.0
60457,Saturday,250.0
60457,Sunday,250.0
60457,Thursday,250.0
60457,Tuesday,250.0
60457,Wednesday,250.0
60611,Friday,88.0
60611,Monday,88.0
60611,Saturday,88.0
60611,Sunday,88.0
60611,Thursday,88.0
60611,Tuesday,88.0
60611,Wednesday,88.0
60666,Friday,110.0
60666,Monday,110.0
60666,Saturday,110.0
60666,Sunday,110.0
60666,Thursday,110.0
60666,Tuesday,110.0
60666,Wednesday,110.0
60673,Friday,125.0
60673,Monday,125.0
60673,Saturday,125.0
60673,Sunday,125.0
60673,Thursday,125.0
60673,Tuesday,125.0
60673,Wednesday,125.0
60680,Friday,127.48
60680,Monday,125.93877551020408
60680,Saturday,129.24489795918367
60680,Sunday,128.53061224489795
60680,Thursday,126.87755102040816
60680,Tuesday,125.91836734693878
60680,Wednesday,125.95918367346938
60794,Friday,250.0
60794,Monday,195.0
60794,Saturday,250.0
60794,Sunday,195.0
