rates_id,neighbourhood_id,year,month,price
2021110,10,2021,1,54
2021210,10,2021,2,52
2021310,10,2021,3,52
2021410,10,2021,4,55
2021510,10,2021,5,57
2021610,10,2021,6,57
2021710,10,2021,7,58
2021810,10,2021,8,58
2021910,10,2021,9,58
20211010,10,2021,10,58
20211110,10,2021,11,58
20211210,10,2021,12,58
2017111,11,2017,1,66
2017211,11,2017,2,66
2017311,11,2017,3,66
2017411,11,2017,4,66
2017511,11,2017,5,66
2017611,11,2017,6,66
2017711,11,2017,7,66
2017811,11,2017,8,66
2017911,11,2017,9,66
20171011,11,2017,10,66
20171111,11,2017,11,66
20171211,11,2017,12,66
2018111,11,2018,1,70
2018211,11,2018,2,70
2018311,11,2018,3,70
2018411,11,2018,4,70
2018511,11,2018,5,70
2018611,11,2018,6,70
2018711,11,2018,7,70
2018811,11,2018,8,70
2018911,11,2018,9,70
20181011,11,2018,10,70
20181111,11,2018,11,70
20181211,11,2018,12,70
2019111,11,2019,1,60
2019211,11,2019,2,58
2019311,11,2019,3,58
2019411,11,2019,4,58
2019511,11,2019,5,66
2019611,11,2019,6,69
2019711,11,2019,7,71
2019811,11,2019,8,72
2019911,11,2019,9,72
20191011,11,2019,10,72
20191111,11,2019,11,73
20191211,11,2019,12,72
2020111,11,2020,1,77
2020211,11,2020,2,67
2020311,11,2020,3,67
2020411,11,2020,4,67
2020511,11,2020,5,67
2020611,11,2020,6,67
2020711,11,2020,7,67
2020811,11,2020,8,67
2020911,11,2020,9,67
20201011,11,2020,10,67
20201111,11,2020,11,70
20201211,11,2020,12,72
2021111,11,2021,1,62
2021211,11,2021,2,62
2021311,11,2021,3,62
2021411,11,2021,4,62
2021511,11,2021,5,62
2021611,11,2021,6,62
2021711,11,2021,7,62
2021811,11,2021,8,63
2021911,11,2021,9,65
20211011,11,2021,10,65
20211111,11,2021,11,66
20211211,11,2021,12,66
2017113,13,2017,1,97
2017213,13,2017,2,97
2017313,13,2017,3,97
2017413,13,2017,4,97
2017513,13,2017,5,97
2017613,13,2017,6,97
2017713,13,2017,7,97
2017813,13,2017,8,97
2017913,13,2017,9,98
20171013,13,2017,10,97
20171113,13,2017,11,97
20171213,13,2017,12,98
2018113,13,2018,1,117
2018213,13,2018,2,117
2018313,13,2018,3,117
2018413,13,2018,4,117
2018513,13,2018,5,117
2018613,13,2018,6,119
2018713,13,2018,7,121
2018813,13,2018,8,122
2018913,13,2018,9,122
20181013,13,2018,10,122
20181113,13,2018,11,122
20181213,13,2018,12,122
2019113,13,2019,1,150
2019213,13,2019,2,150
2019313,13,2019,3,150
2019413,13,2019,4,150
2019513,13,2019,5,150
2019613,13,2019,6,154
2019713,13,2019,7,154
2019813,13,2019,8,155
2019913,13,2019,9,154
20191013,13,2019,10,154
20191113,13,2019,11,155
20191213,13,2019,12,154
2020113,13,2020,1,159
2020213,13,2020,2,159
2020313,13,2020,3,159
2020413,13,2020,4,159
2020513,13,2020,5,159
2020613,13,2020,6,159
2020713,13,2020,7,159
2020813,13,2020,8,159
2020913,13,2020,9,159
20201013,13,2020,10,159
20201113,13,2020,11,159
20201213,13,2020,12,159
2021113,13,2021,1,149
2021213,13,2021,2,149
2021313,13,2021,3,149
2021413,13,2021,4,149
2021513,13,2021,5,149
2021613,13,2021,6,149
2021713,13,2021,7,149
2021813,13,2021,8,149
2021913,13,2021,9,149
20211013,13,2021,10,149
20211113,13,2021,11,149
20211213,13,2021,12,149
2018114,14,2018,1,53
2018214,14,2018,2,53
2018314,14,2018,3,53
2018414,14,2018,4,53
2018514,14,2018,5,56
2018614,14,2018,6,59
2018714,14,2018,7,63
2018814,14,2018,8,74
2018914,14,2018,9,74
20181014,14,2018,10,74
20181114,14,2018,11,74
20181214,14,2018,12,74
2019114,14,2019,1,74
2019214,14,2019,2,74
2019314,14,2019,3,74
2019414,14,2019,4,75
2019514,14,2019,5,81
2019614,14,2019,6,88
2019714,14,2019,7,92
2019814,14,2019,8,92
2019914,14,2019,9,93
20191014,14,2019,10,92
20191114,14,2019,11,92
20191214,14,2019,12,92
2020114,14,2020,1,80
2020214,14,2020,2,80
2020314,14,2020,3,80
2020414,14,2020,4,80
2020514,14,2020,5,80
2020614,14,2020,6,83
2020714,14,2020,7,83
2020814,14,2020,8,84
2020914,14,2020,9,84
