id,superhost,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews
68253,0,131,4,40.76336,-73.921,2,55,0
68305,0,108,3,40.83035,-73.9493,2,75,66
68735,0,127,3,40.78971,-73.9729,1,199,33
68765,1,62,2,40.67817,-73.995,1,250,140
68900,0,81,2,40.73119,-73.9558,2,100,7
68974,1,112,3,40.71943,-73.9963,1,611,216
69894,0,127,3,40.78,-73.9825,1,140,51
71248,1,100,3,40.71659,-73.9895,1,120,50
71366,1,129,3,40.72966,-74.0024,1,200,42
71384,0,81,2,40.72898,-73.9555,1,229,50
71812,0,20,1,40.87207,-73.9019,1,90,8
72190,0,127,3,40.77728,-73.9782,1,110,37
74073,1,96,2,40.71113,-73.9605,1,170,91
74240,0,96,2,40.71903,-73.9597,1,99,70
74333,0,102,3,40.80892,-73.9399,1,80,36
74680,0,131,4,40.77635,-73.9343,1,119,226
74821,0,108,3,40.80648,-73.9487,1,149,47
74860,0,81,2,40.72488,-73.9502,1,75,3
75635,1,113,3,40.71876,-73.9839,1,150,321
76761,1,93,2,40.66552,-73.9902,1,162,436
77765,1,81,2,40.73777,-73.9537,3,179,38
80493,0,113,3,40.72182,-73.9857,2,55,200
80684,1,81,2,40.73756,-73.9535,3,349,8
80700,1,81,2,40.73777,-73.9537,2,349,7
80924,0,87,2,40.67542,-73.9814,1,69,37
81739,1,81,2,40.73777,-73.9537,2,249,2
82549,1,58,2,40.6926,-73.9983,2,100,67
82550,1,58,2,40.69441,-73.9977,1,200,97
82638,0,103,3,40.72399,-73.9837,1,93,270
82928,1,52,2,40.6824,-73.9462,1,150,71
83243,0,60,2,40.68949,-73.9171,1,75,250
83446,0,76,2,40.68819,-73.9726,1,100,6
83847,1,103,3,40.72451,-73.9809,1,232,44
84010,1,81,2,40.73777,-73.9537,3,179,16
87279,1,108,3,40.80922,-73.9404,2,70,136
87566,0,165,4,40.74572,-73.945,1,75,11
88060,0,94,2,40.6604,-73.9954,1,199,0
89427,1,63,2,40.68513,-73.9665,1,650,0
89621,0,52,2,40.68048,-73.9491,1,150,238
93313,0,52,2,40.68314,-73.9396,1,120,103
94035,1,131,4,40.75961,-73.9112,2,76,51
94209,0,67,2,40.67473,-73.9449,1,100,0
94477,1,52,2,40.69305,-73.9319,1,127,400
94783,0,67,2,40.67174,-73.9566,1,118,113
